pk_m,vel_kmh,curve_m,inc_perthousand,station_name
0,70,0,-3.5,Station 1
0.01,70,1200,7.3,
2017.71,70,0,-17.2,
2679,70,5000,-6.9,
2845.77,70,0,-24,
3042.29,70,4000,-24,
3128.27,70,0,-24,
3327.12,70,1300,-13.7,
3869.06,70,0,-13.7,
4000.79,70,1000,-13.7,
4994.44,70,0,-19,
5173.71,75,4000,-19,
5923.76,80,0,-14.8,
6112.97,80,3000,-11.5,
7495.61,80,0,-11.5,
7793.39,85,700,-11.2,
8259.85,90,0,-11.2,
8476.9,85,650,-11.2,
8714.94,80,0,-11.2,
8908.91,75,350,-11.2,
9104.46,70,0,-11.2,
9327.13,70,400,-11.2,
9351.27,70,0,-19.6,
9538.33,65,250,-19.6,
9794.52,60,0,-19.6,
10002.06,60,0,-19.6,
10006.25,60,250,-19.6,
10209.73,60,0,-19.6,
10911.2,60,530,-19.6,
11248.91,65,0,-19.6,
12043.58,70,1500,-19.6,
12343.89,70,0,-19.6,
12767.95,70,850,-17.5,
12946.54,67.5,0,-17.5,
13098.03,65,290,-17.5,
13400.12,65,0,-17.5,
13796.07,65,300,-17.5,
14001.08,65,0,-19.6,
14500.36,65,800,-17.5,
14677.78,62.5,0,-17.5,
14859.07,60,250,-17.5,
15051.32,55,0,-17.5,
15068.13,50,230,-17.5,
15228.5,50,0,-17.5,
15275.99,50,190,-19,
15467.8,50,0,-19,
15841.12,50,250,-19,
16028.32,50,0,-19,
16193.96,50,250,-19,
16339.82,50,0,-19,
16457.71,50,200,-19,
16636,50,0,-19,
16912.49,50,320,-19,
17151.75,55,0,-19,
17384.41,60,490,-19,
17599.69,60,0,-16.1,
17745.63,60,800,-16.1,
18188.74,60,0,-16.1,
18564.46,60,5000,-16.1,
18709.16,60,0,-19,
18861.24,60,4500,-16.1,
19006.04,55,0,-19,
19251.27,50,200,-19,
19427.58,25,0,-3,Station 2
19427.59,25,0,-3,
19713.52,50,730,-3,
19844.75,50,0,-3,
19916.94,50,900,-18,
20042.17,50,0,-18,
20329.03,50,0,-18,
20537.07,50,0,-18,
21115.79,50,200,-18,
21274.58,50,0,-18,
21347.28,50,700,1.3,
21461.89,55,0,1.3,
21640.3,60,10000,1.3,
21914.96,60,0,1.3,
22081.62,60,500,-28.9,
22216.62,60,0,-28.9,
22353.56,60,2800,-28.9,
22468.7,60,0,-28.9,
24794.97,60,40000,-15.5,
24916.23,70,0,-14.8,
24967.19,80,2800,-14.8,
25105.69,80,0,-14.8,
26653.66,80,3000,-15.2,
26786.74,85,0,-15.2,
26927.46,90,5000,-15.2,
27038.92,90,0,-15.2,
28734.27,90,4000,-15.2,
29390.51,85,0,-11.4,
29715.48,80,570,-14.4,
30310.08,80,0,-14.4,
30778.85,80,570,-9.7,
30888.89,80,0,-9.7,
30936.43,80,7100,-9.7,
31048.28,80,0,-9.7,
32580.08,80,9000,-12.9,
32852.59,80,0,-3.5,
32855.93,80,3000,-3.5,
33026.99,80,0,-3.5,
34140.15,80,14000,-22.8,
34338.58,80,0,-22.8,
34505.84,80,800,-22.8,
34614.32,80,0,-22.8,
34860.97,80,8100,-3.5,
34960.98,75,0,-3.5,
35010.67,70,1700,-3.5,
35111.51,70,0,-3.5,Station 3
35111.52,70,1500,-3.5,
35360.82,70,0,-3.5,
35461.33,70,0,-3.5,
35510.9,70,1500,-3.5,
35611.49,70,0,-3.5,
35996.71,70,1500,-18.3,
36568.16,75,0,-18.3,
39606.78,80,1800,-18.3,
39965.06,80,0,-18.3,
40738.73,80,0,-3.2,
41218.76,80,500,-3.2,
42441.63,80,0,-3.2,
43106.33,80,400,-3.2,
43641.2,80,0,-17.4,
44216.53,80,1800,-17.4,
44329.04,80,0,-11.8,
44873.92,80,800,-11.8,
45691.87,80,0,-11.8,
46090.72,80,3000,-11.8,
47892.75,80,0,-8,
48008.93,80,1000,-8,
50959.77,80,0,-12,
51436.13,75,2000,-12,
52858.62,70,0,-8,
53135.28,75,650,-8.2,
53596.69,80,0,-8.2,
53981.18,80,300,-10.6,
54092.88,80,0,-9.3,
54342.48,80,910,-9.3,
54359.06,80,0,-17.4,
54794.77,70,500,-17.4,
54809.77,60,0,-17.4,
55036.28,50,600,-17.4,
55167.27,50,0,-17.4,
55433.73,50,250,-17.4,
55621.51,40,0,-17.4,
55821.11,40,600,-17.4,
55872.84,30,0,-17.4,
56042.82,40,0,-8,
56083.16,40,1145.92,-16.2,
56435.24,50,0,-16.2,
56645.54,50,572.96,-16.2,
57037.77,60,0,-16.2,
57179.88,60,458.37,-16.2,
57458.15,60,0,-16.2,
